station,duration,SU,ID,FD,TR,CDD,CWD,TXX,TXN,TNX,TNN,TX90p,TX10p,TN90p,TN10p,R10,R20,R72,R100,RX1day,RX5day,R95P,R99P,PRCPTOT,SDII,DTR
서귀포,중기,1.4028921023359284,0.0,-0.003781979977753058,1.5666295884315902,-0.04605116796440485,0.11212458286985534,0.0846273637374861,0.10409343715239153,0.06629588431590654,0.11005561735261402,0.0824026696329254,0.09279199110122359,0.07508342602892099,0.09561735261401554,0.2956618464961066,0.22424916573971077,0.056507230255839806,0.04916573971078977,1.822847608453837,3.414482758620689,0.48135150166852075,1.5682231368186856,17.606496106785315,0.0870607223655508,0.003749195641513207
서귀포,장기,1.4308270676691734,0.0,0.0,1.555639097744361,-0.16315789473684217,0.010526315789473654,0.10285714285714295,0.05308270676691732,0.08954887218045132,0.05669172932330826,0.10984962406015034,0.07496240601503752,0.08872180451127809,0.08360902255639102,0.16015037593984957,-0.04736842105263163,0.14135338345864662,0.0992481203007519,1.588045112781956,-0.347518796992482,0.5431165413533833,1.2835150375939883,14.884661654135343,0.08192226216453198,0.016843548964577303
서산,단기,0.8456062291434926,-0.11501668520578415,-0.9245828698553944,0.7973303670745272,-0.10611790878754165,-0.0077864293659621895,0.08505005561735256,0.08249165739710793,0.07988876529477194,0.050812013348164584,0.07984427141268077,0.08186874304783089,0.07419354838709677,0.04467185761957731,-0.025583982202447217,-0.11523915461624018,0.0037819799777530604,0.007786429365962178,0.2744605116796439,0.7487652947719688,0.13336040044493916,0.23307630700778695,0.06086763070077929,-0.024104928758053243,0.0003431291638259784
서산,중기,1.0640711902113458,-0.13770856507230247,-0.8776418242491656,0.954171301446051,-0.04449388209121249,-0.132369299221357,0.11810901001112344,0.1326585094549499,0.09098998887652944,0.11454949944382643,0.1259176863181312,0.12013348164627363,0.0864516129032258,0.11681868743047823,0.06807563959955502,0.09054505005561733,0.04449388209121243,0.002002224694104563,0.858687430478309,0.8525695216907673,-0.22264404894327022,0.46490656284760834,3.633637374860955,0.04053244755724523,0.007454734651404783
서산,장기,1.0248120300751882,0.0,-0.8248120300751882,1.2338345864661655,-0.20300751879699247,0.11503759398496242,0.10616541353383471,0.12300751879699262,0.10135338345864657,0.07796992481203015,0.11751879699248123,0.1309774436090225,0.09706766917293244,0.053007518796992475,0.28872180451127827,0.13157894736842107,-0.006015037593984956,0.0007518796992481206,-0.09511278195488712,-1.0219548872180444,-0.5680676691729319,-0.20366466165413416,5.694586466165417,0.021301335466056455,0.01830503678551221
서울,단기,0.8734149054505005,-0.27452725250278087,-0.6582869855394877,1.033147942157953,-0.14816462736373742,0.07853170189098996,0.06609566184649611,0.06416017797552838,0.09461624026696329,0.04800889877641825,0.07216462736373747,0.07695216907675195,0.08542825361512792,0.051368186874304715,-0.040489432703003383,-0.089210233592881,-0.010233592880978856,0.014460511679644045,0.11179087875417129,1.0204004449388202,0.2211023359288108,0.17434037819799808,-1.1173081201334807,-0.0366559000056356,-0.005831999712942683
서울,중기,0.9899888765294771,-0.26117908787541694,-0.6925472747497216,1.0898776418242486,0.07208008898776419,-0.11056729699666294,0.12113459399332582,0.1487430478309232,0.1150166852057842,0.12291434927697438,0.12809788654060064,0.12371523915461614,0.10231368186874301,0.11583982202447163,0.09477196885428253,-0.03959955506117906,0.042936596218020005,0.0035595105672969903,0.11735261401557254,-0.8618687430478303,-0.33978865406006753,0.04527385984427185,2.9956840934371507,0.019937268744403814,-0.00585099333787844
서울,장기,1.178947368421053,-0.07293233082706771,-0.6661654135338347,1.2834586466165419,-0.35563909774436103,-0.12857142857142856,0.10917293233082705,0.10218045112781966,0.08796992481202993,0.0736842105263157,0.0999473684210526,0.10022556390977451,0.08879699248120297,0.0638345864661654,-0.15413533834586465,0.0030075187969925295,0.0849624060150376,-0.0022556390977443584,-0.12556390977443588,0.07090225563909895,0.4396992481203008,0.17653308270676873,2.575563909774432,-0.010845114179980879,-0.009809442962244407
성산,단기,0.9499443826473857,0.0,-0.18286985539488315,0.8549499443826473,-0.0020022246941045524,-0.0028921023359288235,0.0714794215795328,0.04095661846496105,0.06355951056729696,0.05432703003337039,0.07107897664071182,0.0507007786429366,0.06529477196885425,0.05285873192436041,0.20177975528364842,0.14927697441601775,0.019132369299221345,0.03426028921023359,1.299488320355951,2.2464961067853153,0.25198553948831975,1.1643457174638476,9.656507230255842,0.05049511569076731,-0.0042407453921322405
성산,중기,1.5101223581757506,0.0,-0.14082313681868747,1.0883203559510564,0.10411568409343713,0.08209121245828695,0.07045606229143483,0.09650723025583982,0.06598442714126804,0.10262513904338152,0.07018909899888766,0.09050055617352612,0.06976640711902109,0.08840934371523909,0.2983314794215794,0.22758620689655162,0.05406006674082313,0.04204671857619576,1.5641156840934367,4.847074527252503,1.3573848720800872,1.647815572858731,17.259043381535037,0.08367747810139807,-0.005561208989677931
